#,Chapter,Role,Name (Country)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Coordinating Lead Author,Pete Smith (UK)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Coordinating Lead Author,Mercedes Bustamante (Brazil)
,,,
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Helal Ahammad (Australia)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Harry Clark (New Zealand)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Hongmin Dong (China)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Elnour A. Elsiddig (Sudan)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Helmut Haberl (Austria)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Richard Harper (Australia)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Joanna House (UK)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Mostafa Jafari (Iran)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Omar Masera (Mexico)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Cheikh Mbow (Senegal)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Nijavalli H. Ravindranath (India)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Charles W. Rice (USA)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Carmenza Robledo Abad (Switzerland/Colombia)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Anna Romanovskaya (Russian Federation)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Frank Sperling (Germany/Tunisia)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Lead Author,Francesco N. Tubiello (FAO/USA/Italy)
,,,
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Göran Berndes (Sweden)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Simon Bolwig (Denmark)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Hannes Böttcher (Austria/Germany)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Ryan Bright (USA/Norway)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Francesco Cherubini (Italy/Norway)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Helena Chum (Brazil/USA)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Esteve Corbera (Spain)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Felix Creutzig (Germany)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Mark Delucchi (USA)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Andre Faaij (Netherlands)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Joe Fargione (USA)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Gesine Hänsel (Germany)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Garvin Heath (USA)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Mario Herrero (Kenya)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Richard Houghton (USA)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Heather Jacobs (FAO/USA)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Atul K. Jain (USA)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Etsushi Kato (Japan)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Oswaldo Lucon (Brazil)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Daniel Pauly (France/Canada)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Richard Plevin (USA)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Alexander Popp (Germany)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,John R. Porter (Denmark/UK)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Benjamin Poulter (USA)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Steven Rose (USA)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Alexandre de Siqueira Pinto (Brazil)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Saran Sohi (UK)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Benjamin Stocker (USA)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Anders Strømman (Norway)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Sangwon Suh (Republic of Korea/USA)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Contributing Author,Jelle van Minnen (Netherlands)
,,,
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Review Editor,Thelma Krug (Brazil)
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Review Editor,Gert-Jan Nabuurs (Netherlands)
,,,
11,"Agriculture, Forestry and Other Land Use (AFOLU)",Chapter Science Assistant,Marina Molodovskaya (Canada/Uzbekistan)
