#,Chapter,Role,Name (Country)
30,The Ocean,Coordinating Lead Author,Ove Hoegh-Guldberg (Australia)
30,The Ocean,Coordinating Lead Author,Rongshuo Cai (China)
,,,
30,The Ocean,Lead Author,Elvira S. Poloczanska (Australia)
30,The Ocean,Lead Author,Peter G. Brewer (USA)
30,The Ocean,Lead Author,Svein Sundby (Norway)
30,The Ocean,Lead Author,Karim Hilmi (Morocco)
30,The Ocean,Lead Author,Victoria J. Fabry (USA)
30,The Ocean,Lead Author,Sukgeun Jung (Republic of Korea)
,,,
30,The Ocean,Contributing Author,William Skirving (USA)
30,The Ocean,Contributing Author,Dáithí Stone (Canada/South Africa/USA)
30,The Ocean,Contributing Author,Michael T. Burrows (UK)
30,The Ocean,Contributing Author,Johann Bell (New Caledonia)
30,The Ocean,Contributing Author,Long Cao (China)
30,The Ocean,Contributing Author,Simon Donner (Canada)
30,The Ocean,Contributing Author,C. Mark Eakin (USA)
30,The Ocean,Contributing Author,Arne Eide (Norway)
30,The Ocean,Contributing Author,Benjamin Halpern (USA)
30,The Ocean,Contributing Author,Charles R. McClain (USA)
30,The Ocean,Contributing Author,Mary I. O’Connor (Canada)
30,The Ocean,Contributing Author,Camille Parmesan (USA)
30,The Ocean,Contributing Author,R. Ian Perry (Canada)
30,The Ocean,Contributing Author,Anthony J. Richardson (Australia)
30,The Ocean,Contributing Author,Christopher J. Brown (Australia)
30,The Ocean,Contributing Author,David Schoeman (Australia)
30,The Ocean,Contributing Author,Sergio Signorini (USA)
30,The Ocean,Contributing Author,William Sydeman (USA)
30,The Ocean,Contributing Author,Rui Zhang (China)
30,The Ocean,Contributing Author,Ruben van Hooidonk (USA)
30,The Ocean,Contributing Author,Stewart M. McKinnell (PICES/Canada)
,,,
30,The Ocean,Review Editor,Carol Turley (UK)
30,The Ocean,Review Editor,Ly Omar (Senegal)
,,,
30,The Ocean,Volunteer Chapter Scientist,Jo Davy (New Zealand)
30,The Ocean,Volunteer Chapter Scientist,Sarah Lee (USA)
