#,Chapter,Role,Name (Country)
14,Regional Development and Cooperation,Coordinating Lead Author,Shardul Agrawala (France)
14,Regional Development and Cooperation,Coordinating Lead Author,Stephan Klasen (Germany)
,,,
14,Regional Development and Cooperation,Lead Author,Roberto Acosta Moreno (Cuba)
14,Regional Development and Cooperation,Lead Author,Leonardo Barreto (Colombia/Austria)
14,Regional Development and Cooperation,Lead Author,Thomas Cottier (Switzerland)
14,Regional Development and Cooperation,Lead Author,Dabo Guan (China/UK)
14,Regional Development and Cooperation,Lead Author,Edgar E. Gutierrez-Espeleta (Costa Rica)
14,Regional Development and Cooperation,Lead Author,Alba Eritrea Gámez Vázquez (Mexico)
14,Regional Development and Cooperation,Lead Author,Leiwen Jiang (China/USA)
14,Regional Development and Cooperation,Lead Author,Yong Gun Kim (South Korea)
14,Regional Development and Cooperation,Lead Author,Joanna Lewis (USA)
14,Regional Development and Cooperation,Lead Author,Mohammed Messouli (Morocco)
14,Regional Development and Cooperation,Lead Author,Michael Rauscher (Germany)
14,Regional Development and Cooperation,Lead Author,Noim Uddin (Bangladesh/Australia)
14,Regional Development and Cooperation,Lead Author,Anthony Venables (UK)
,,,
14,Regional Development and Cooperation,Review Editor,Volodymyr Demkine (Ukraine/Kenya)
14,Regional Development and Cooperation,Review Editor,Kirsten Halsnaes (Denmark)
,,,
14,Regional Development and Cooperation,Contributing Author,Christian Flachsland (Germany)
14,Regional Development and Cooperation,Contributing Author,Kateryna Holzer (Ukraine)
14,Regional Development and Cooperation,Contributing Author,Joanna House (UK)
14,Regional Development and Cooperation,Contributing Author,Jessica Jewell (Austria)
14,Regional Development and Cooperation,Contributing Author,Peter Lawrence (USA)
14,Regional Development and Cooperation,Contributing Author,Axel Michaelowa (Germany)
14,Regional Development and Cooperation,Contributing Author,Victoria Schreitter (Austria)
