Chapter,Role,Name (Country)
Asia,Coordinating Lead Author,Murari Lal (India)
Asia,Coordinating Lead Author,Hideo Harasawa (Japan)
Asia,Coordinating Lead Author,Daniel Murdiyarso (Indonesia)
,,
Asia,Lead Author,W.N. Adger (UK)
Asia,Lead Author,Sharad P. Adhikary (Nepal)
Asia,Lead Author,Mitsuru Ando (Japan)
Asia,Lead Author,Yurij Anokhin (Russian Federation)
Asia,Lead Author,Rex Victor Cruz (Philippines)
Asia,Lead Author,Mohammad Ilyas (Malaysia)
Asia,Lead Author,Zurab Kopaliani (Russian Federation)
Asia,Lead Author,Felino Lansigan (Philippines)
Asia,Lead Author,Congxian Li (China)
Asia,Lead Author,Anand Patwardhan (India)
Asia,Lead Author,Uriel N. Safriel (Israel)
Asia,Lead Author,Hari Suharyono (Indonesia)
Asia,Lead Author,Xinshi Zhang (China)
,,
Asia,Contributing Author,M. Badarch (N/A)
Asia,Contributing Author,Xiongwen Chen (China)
Asia,Contributing Author,Seita Emori (Japan)
Asia,Contributing Author,Jingyun Fang (N/A)
Asia,Contributing Author,Qiong Gao (N/A)
Asia,Contributing Author,K. Hall (USA)
Asia,Contributing Author,T. Jarupongsakul (N/A)
Asia,Contributing Author,R. Khanna-Chopra (N/A)
Asia,Contributing Author,R. Khosa (N/A)
Asia,Contributing Author,M.P. Kirpes (N/A)
Asia,Contributing Author,A. Lelakin (N/A)
Asia,Contributing Author,M. Monirul Qader Mirza (Canada)
Asia,Contributing Author,S. Mizina (N/A)
Asia,Contributing Author,M. Nakagawa (N/A)
Asia,Contributing Author,M. Nakayama (N/A)
Asia,Contributing Author,Jian Ni (N/A)
Asia,Contributing Author,A. Nishat (N/A)
Asia,Contributing Author,A. Novoplansky (N/A)
Asia,Contributing Author,T. Nozawa (Japan)
Asia,Contributing Author,Warren T. Piver (USA)
Asia,Contributing Author,P.S. Ramakrishnan (India)
Asia,Contributing Author,E.Ya. Rankova (Russian Federation)
Asia,Contributing Author,Terry L. Root (USA)
Asia,Contributing Author,D. Saltz (N/A)
Asia,Contributing Author,K.P. Sharma (Nepal)
Asia,Contributing Author,M.L. Shrestha (N/A)
Asia,Contributing Author,G. Srinivasan (India)
Asia,Contributing Author,T.S. Teh (N/A)
Asia,Contributing Author,Xiaoping Xin (N/A)
Asia,Contributing Author,Masatoshi Yoshino (Japan)
Asia,Contributing Author,A. Zangvil (N/A)
Asia,Contributing Author,Guangsheng Zhou (China)
,,
Asia,Review Editor,Su Jilan (China)
Asia,Review Editor,Tatyana Ososkova (Uzbekistan)
